"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
1979,0.6814,10.3333333333333,31,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,7.63263333333333
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1981,1.3237,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,11.9134
1982,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1983,1.20545,6.5,13,154,46,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.85435
1984,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1985,1.0201,12,12,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.2407
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1987,1.081,13.6666666666667,41,279,21,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,16.512
1988,0.7377,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.6392
1989,0.929725,5.75,23,383,17,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,5.47675
1990,0.750733333333333,5.33333333333333,16,300,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,4.16043333333333
1991,1.3269,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.2883
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1995,1.10055,5,10,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,5.5027
1996,0.3485,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2.0912
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1998,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1999,1.28636666666667,15.6666666666667,47,259,41,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,20.8821333333333
2000,0.3624,6,6,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2.1746
2001,1.1504,10,20,183,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9.4632
2002,1.0257,6,12,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,6.5039
2003,1.7041,11.5,23,139,61,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,23.27965
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2005,1.1136,10.3333333333333,31,279,21,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,13.6743
2006,1.8384,8,8,62,38,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,14.7076
2007,0.3342,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1.6711
2008,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2009,0.1813,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.9067
2010,1.00095,15.5,31,190,5,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,14.41165
2011,0.3912,6,6,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2.347
2012,1.0962,12,24,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13.154
2013,1.4784,16,16,94,6,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.6543
2014,0.9892,8,8,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.9139
2015,1.10455,8.5,17,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,9.32075
