"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
1979,3.5813,28,28,54,18,0,25,0,1,0,0,0,0,0,0,0,0,0,0,0,100.2777
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1981,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1982,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1983,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1984,1.2897,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,6.4487
1985,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1986,2.51835,6.5,13,188,12,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,16.20115
1987,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1988,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1989,3.6116,11,11,73,27,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,39.728
1990,2.8321,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.9928
1991,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1994,1.1455,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5.7273
1995,1.8149,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9.0745
1996,2.30975,5,10,180,20,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,11.54885
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1998,1.5447,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.7237
1999,1.68615,9.5,19,177,15,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,17.6358
2000,1.83575,5.5,11,183,17,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.1438
2001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2002,4.30365,5,10,120,80,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,21.5181
2003,3.6782,22,22,41,55,0,5,0,0,0,0,0,0,1,0,0,0,0,0,0,80.9198
2004,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2005,2.7408,5,5,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,13.7041
2006,2.89055,10,20,169,31,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,27.9196
2007,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2008,2.264,7,7,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,15.8479
2009,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2010,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2011,1.4616,5,5,100,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7.3081
2012,3.35345,9.5,19,123,77,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,37.75025
2013,2.4217,5,5,60,40,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,12.1086
2014,2.34565,7,14,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,15.5408
2015,1.6489,9,9,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.8399
2016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2018,3.2971,12,12,83,17,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,39.5649
2019,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2020,2.6551,8,8,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.2404
2021,1.52695,5.5,11,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,8.4411
2022,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2023,1.6586,10,20,193,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,21.0154
2024,1.3287,13,13,92,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.2733
2025,2.0463,12,24,200,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,31.73135
2026,2.2556,8,8,88,12,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,18.0451
2027,2.4847,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,14.908
2028,3.4066,7,7,71,29,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,23.8465
