"year","ann_mean","ann_av_dur","ann_dur","ann_mod","ann_str","ann_ex","ann_sev","ann_winter","ann_spring","ann_summer","ann_fall","ann_winter_spring","ann_spring_summer","ann_summer_fall","ann_fall_winter","ann_winter_summer","ann_spring_fall","ann_summer_winter","ann_fall_spring","ann_year_round","ann_cum_intensity"
1979,0.9029,19,19,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.1555
1980,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1981,1.1889,19,19,95,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,22.5896
1982,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1983,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1984,1.0804,23,23,96,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,24.8481
1985,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1986,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1987,0.5289,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.1734
1988,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1989,1.4504,7.5,15,170,30,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,13.81425
1990,1.0021,7,7,100,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.0146
1991,0.2488,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.2439
1992,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1993,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1994,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1995,0.84885,5,10,200,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4.24415
1996,1.3245,13,13,77,23,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,17.2183
1997,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1998,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
1999,1.1753,12,24,194,6,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,16.7819
2000,1.0148,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,10.1484
2001,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2002,0.8521,5,5,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.2603
2003,1.64363333333333,14.6666666666667,44,229,71,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,30.7476666666667
2004,0.7453,10,10,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,7.4534
2005,0.8475,7,28,400,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,6.489475
2006,1.0259,26,52,196,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,34.90345
2007,1.26575,9,18,200,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.3916
2008,1.77945,15,30,174,26,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,27.47335
2009,1.1125,10,10,100,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,11.1254
2010,0.8589,19,19,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,16.3185
2011,0.516,6,6,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3.0961
2012,1.38373333333333,22,66,288,5,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,28.8922333333333
2013,1.2202,15,15,100,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,18.3026
2014,0.9811,16.5,33,186,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,10.87635
2015,1.5651,14,14,93,7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,21.9118
2016,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2017,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2018,0.5129,21.5,43,194,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,12.9296
2019,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
2020,1.4429,24,24,88,12,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,34.6285
